Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017/4/5,749251,1979
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",1986/2/28,49826,1912
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008/8/21,914208,1935
J,Jacobs,Industrials,Construction & Engineering,"Dallas, Texas",2007/10/26,52988,1947
JBHT,J.B. Hunt,Industrials,Trucking,"Lowell, Arkansas",2015/7/1,728535,1961
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",2010/8/27,833444,1885
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018/11/13,779152,1976
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973/6/30,200406,1886
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006/6/2,1043604,1996
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975/6/30,19617,2000 (1799 / 1871)
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1989/9/11,55067,1906
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994/3/1,91576,1825
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018/11/6,1601046,2014
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015/7/6,1637459,2015 (1869)
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",2006/4/4,879101,1958
KLAC,KLA,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997)
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957/3/4,55785,1872
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012/5/25,1506307,1997
KMX,CarMax,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010/6/28,1170010,1993
KO,Coca-Cola,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957/3/4,21344,1886
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957/3/4,56873,1883
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",,60086,1959
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",2019/8/9,1336920,1969
